Model,Accuracy,Precision,Recall,F1-Score,ROC AUC,Senaryo
TabNet,0.7669640443363072,0.38880368098159507,0.8863636363636364,0.5405117270788913,0.9083395018796363,2. SMOTE Only
Logistic Regression,0.8802379021357124,0.7345454545454545,0.3531468531468531,0.4769775678866588,0.8653530272094391,3. Feature Selection Only
Decision Tree,0.8510408218437415,0.5178268251273345,0.5332167832167832,0.5254091300602929,0.7087329843166109,3. Feature Selection Only
Random Forest,0.8888888888888888,0.673866090712743,0.5454545454545454,0.6028985507246377,0.8831131292755854,3. Feature Selection Only
SVM (RBF kernel),0.8675317653419843,0.5515075376884422,0.7674825174825175,0.6418128654970761,0.8678895856302316,3. Feature Selection Only
K-Nearest Neighbors,0.8799675587996756,0.65311004784689,0.4772727272727273,0.5515151515151515,0.8220587774873032,3. Feature Selection Only
Gradient Boosting,0.889970262233036,0.6829268292682927,0.5384615384615384,0.6021505376344086,0.8947968405115831,3. Feature Selection Only
XGBoost,0.8856447688564477,0.6616052060737527,0.5332167832167832,0.590513068731849,0.8747699374498223,3. Feature Selection Only
LightGBM,0.8880778588807786,0.670995670995671,0.541958041958042,0.5996131528046421,0.8898039520441184,3. Feature Selection Only
CatBoost,0.8896999188969992,0.6782608695652174,0.5454545454545454,0.6046511627906976,0.8970035401119508,3. Feature Selection Only
Enhanced Deep Learning,0.8948364422816978,0.7699115044247787,0.4562937062937063,0.5729967069154775,0.8958386912096539,3. Feature Selection Only
TabNet,0.8905109489051095,0.6973995271867612,0.5157342657342657,0.592964824120603,0.8963636699086013,3. Feature Selection Only
Logistic Regression,0.862124898621249,0.5415549597855228,0.7062937062937062,0.6130500758725341,0.8710176535968029,4. SMOTE + FS + Optuna
Decision Tree,0.8380643417139767,0.4814305364511692,0.6118881118881119,0.5388760585065435,0.7352989191812345,4. SMOTE + FS + Optuna
Random Forest,0.8742903487429035,0.5742024965325936,0.7237762237762237,0.6403712296983759,0.880373064735073,4. SMOTE + FS + Optuna
SVM (RBF kernel),0.870235198702352,0.5592783505154639,0.7587412587412588,0.6439169139465876,0.8636891969559062,4. SMOTE + FS + Optuna
K-Nearest Neighbors,0.8113003514463368,0.4326923076923077,0.708041958041958,0.5371352785145889,0.8257436918693715,4. SMOTE + FS + Optuna
Gradient Boosting,0.8699648553663152,0.558408215661104,0.7604895104895105,0.6439674315321984,0.8834879942571021,4. SMOTE + FS + Optuna
XGBoost,0.871316572046499,0.573170731707317,0.6573426573426573,0.6123778501628665,0.8697169475871107,4. SMOTE + FS + Optuna
LightGBM,0.8805082454717491,0.5928571428571429,0.7255244755244755,0.6525157232704403,0.8820662468327963,4. SMOTE + FS + Optuna
CatBoost,0.8761827520951608,0.5787292817679558,0.7325174825174825,0.6466049382716049,0.8834387949754116,4. SMOTE + FS + Optuna
Logistic Regression (Optuna),0.8623952419572858,0.5422818791946309,0.7062937062937062,0.6135155656795748,0.8719999619823732,4. SMOTE + FS + Optuna
Decision Tree (Optuna),0.8475263584752636,0.506006006006006,0.5891608391608392,0.5444264943457189,0.7421753574215997,4. SMOTE + FS + Optuna
SVM (Optuna),0.8634766153014328,0.5475177304964539,0.6748251748251748,0.6045418950665623,0.8489316487797459,4. SMOTE + FS + Optuna
K-Nearest Neighbors (Optuna),0.8356312516896458,0.4783132530120482,0.6940559440559441,0.5663338088445078,0.8364129474618762,4. SMOTE + FS + Optuna
Gradient Boosting (Optuna),0.8753717220870506,0.5911330049261084,0.6293706293706294,0.6096528365791702,0.8622875765104739,4. SMOTE + FS + Optuna
XGBoost (Optuna),0.8788861854555285,0.5945121951219512,0.6818181818181818,0.6351791530944625,0.8707624323230336,4. SMOTE + FS + Optuna
LightGBM (Optuna),0.8740200054068668,0.5841269841269842,0.6433566433566433,0.6123128119800333,0.8514125784672635,4. SMOTE + FS + Optuna
Random Forest (Optuna),0.8761827520951608,0.5774456521739131,0.743006993006993,0.6498470948012233,0.8838684500660836,4. SMOTE + FS + Optuna
CatBoost (Optuna),0.8761827520951608,0.5885093167701864,0.6625874125874126,0.6233552631578947,0.8689308772455558,4. SMOTE + FS + Optuna
